linha,tipo_cartao,n
378 - Canindezinho/Urucutu,Estudante,197
378 - Canindezinho/Urucutu,Gratuidade,32
378 - Canindezinho/Urucutu,Inteira,293
378 - Canindezinho/Urucutu,Vale Transporte,335
379 - Cj Esperanca/Paranga,Estudante,980
379 - Cj Esperanca/Paranga,Gratuidade,196
379 - Cj Esperanca/Paranga,Inteira,965
379 - Cj Esperanca/Paranga,Vale Transporte,1534
37 - Corujao/Cj Ceara/Ald,Estudante,4
37 - Corujao/Cj Ceara/Ald,Inteira,17
37 - Corujao/Cj Ceara/Ald,Vale Transporte,23
381 - Parque Santa Maria/S,Estudante,555
381 - Parque Santa Maria/S,Gratuidade,119
381 - Parque Santa Maria/S,Inteira,634
381 - Parque Santa Maria/S,Vale Transporte,832
382 - Parque Jerusalem,Estudante,285
382 - Parque Jerusalem,Gratuidade,106
382 - Parque Jerusalem,Inteira,455
382 - Parque Jerusalem,Vale Transporte,644
383 - PQ. SAO JOAO / SIQUE,Estudante,336
383 - PQ. SAO JOAO / SIQUE,Gratuidade,108
383 - PQ. SAO JOAO / SIQUE,Inteira,495
383 - PQ. SAO JOAO / SIQUE,Vale Transporte,656
384 - Parque Santana,Estudante,212
384 - Parque Santana,Gratuidade,98
384 - Parque Santana,Inteira,325
384 - Parque Santana,Vale Transporte,607
386 - Planalto Granja Lisb,Estudante,371
386 - Planalto Granja Lisb,Gratuidade,107
386 - Planalto Granja Lisb,Inteira,529
386 - Planalto Granja Lisb,Vale Transporte,739
387 - Jardim Jatoba/Centro,Estudante,688
387 - Jardim Jatoba/Centro,Gratuidade,189
387 - Jardim Jatoba/Centro,Inteira,1150
387 - Jardim Jatoba/Centro,Vale Transporte,1472
388 - Conj. Tatu Munde,Estudante,264
388 - Conj. Tatu Munde,Gratuidade,69
388 - Conj. Tatu Munde,Inteira,403
388 - Conj. Tatu Munde,Vale Transporte,477
389 - Jovita Feitosa,Estudante,1225
389 - Jovita Feitosa,Gratuidade,278
389 - Jovita Feitosa,Inteira,865
389 - Jovita Feitosa,Vale Transporte,1067
38 - Parangaba/Papicu,Estudante,3207
38 - Parangaba/Papicu,Gratuidade,242
38 - Parangaba/Papicu,Inteira,2752
38 - Parangaba/Papicu,Vale Transporte,4708
390 - Parangaba/Joao Pesso,Estudante,1065
390 - Parangaba/Joao Pesso,Gratuidade,241
390 - Parangaba/Joao Pesso,Inteira,855
390 - Parangaba/Joao Pesso,Vale Transporte,1408
391 - Passare / Parangaba,Estudante,723
391 - Passare / Parangaba,Gratuidade,145
391 - Passare / Parangaba,Inteira,581
391 - Passare / Parangaba,Vale Transporte,1037
392 - NOVA ESPERANCA/SIQUE,Estudante,262
392 - NOVA ESPERANCA/SIQUE,Gratuidade,62
392 - NOVA ESPERANCA/SIQUE,Inteira,442
392 - NOVA ESPERANCA/SIQUE,Vale Transporte,555
393 - MIGUEL ARRAIS/SIQUEI,Estudante,349
393 - MIGUEL ARRAIS/SIQUEI,Gratuidade,124
393 - MIGUEL ARRAIS/SIQUEI,Inteira,414
